gene_id,zoospore-A,zoospore-B,germinating cyst-A,germinating cyst-B,mycelia_48h-A,mycelia_48h-B,mycelia_96h-A,mycelia_96h-B,Early infection-A,Early infection-B,Late infection-A,Late infection-B
g18933,1.689915978,2.358810488,25.79008855,49.24526076,6.810101831,6.658160748,0,0,0,0.200275957,0,0
g18934,0.767490681,0.378097127,7.17212022,8.423042068,1.00427294,0.853796934,0,0.030266667,0,0.064205043,0,0
g18935,0.563305326,3.243364421,31.3831198,43.84029311,7.627314051,9.321425047,0.200679674,0,0,0,0,0.402675903
g18936,0,0,0,0.056948893,0.051662841,0,0,0,0,0,0,0
g18939,0,0,1.239581445,1.47976003,0.127848312,0,0,0,0,0.093996183,0.188438101,0.094494612
g18941,0.112151287,0,0.123727187,0,0,0,0.319634593,0.15037466,0.580729473,0.398739462,0.639495819,1.443073825
g18942,0,0,0,0,0,0.123351189,0,0.087454737,0,0,0,0
g18943,0,0.285130938,0,0.145188386,0.263423719,0.128773219,0,0,0,0,0,0
g18944,0.453817812,0.219269707,3.812714262,3.945034287,15.19324127,15.71250915,0,0,0,0,0,0
g18945,3.661484619,5.307323598,11.80751042,15.31407499,12.80299144,20.24080867,0,0,0.208346126,0,0,0.402675903
g18946,0.248960836,0,0.915525949,1.002707291,0.374555601,0.235413541,0.137967276,0.129815625,0.020462566,0.07867984,0.157732786,0
g18947,0,0,0,0,0.105138414,0,21.30021097,27.11096838,20.34481644,21.18006086,24.17462485,28.59705362
g18948,2.035764628,1.811488958,1.122944901,0.81388972,0.93523534,1.443740811,4.605330662,8.700579043,5.49657295,7.527415026,7.545262786,5.966548908
g18949,0,0,0,0,0.319620779,0,0,0,0.244459455,0,0,0
g18952,12.15752692,7.499984296,1.33724705,1.639463016,2.082201062,1.043533048,1.417941052,3.699271528,2.301844499,5.287285266,3.40426497,4.241911413
g18953,5.448883537,4.885157685,0.554889234,0.834137559,0.378356052,0.18495725,0.039819191,0.168599323,0.103350953,0.119217255,0.079666616,0.039949808
g18954,11.26610652,6.004244878,6.101488638,5.896328339,9.509378557,10.6530572,2.773028217,3.295814871,1.363720097,2.039173381,4.672019042,1.17142081
g18955,12.54496186,9.243987047,6.248070948,4.414868466,10.30718115,8.637613943,0,0,0,0,0,0
