,zoospore-A,zoospore-B,germinating cyst-A,germinating cyst-B,mycelia_48h-A,mycelia_48h-B,mycelia_96h-A,mycelia_96h-B,Early infection-A,Early infection-B,Late infection-A,Late infection-B
g25911,461,332,119,163,540,483,823,1084,764,797,445,876
g25912,822,575,426,450,631,582,413,909,387,550,178,463
g25924,239,226,438,490,487,504,211,267,235,273,74,147
g25925,18,11,55,78,70,44,67,95,62,64,18,37
g25926,11,7,0,6,2,1,7,20,4,3,1,3
g25927,46,39,130,175,164,134,313,417,264,283,76,170
g25928,355,544,34,65,82,62,432,550,194,265,147,129
g25929,4232,3972,788,1204,668,575,1880,2114,1089,1746,713,824
g25930,1,0,1,2,23,17,8,14,2,9,5,9
g25931,1215,841,765,944,1680,2052,836,389,1331,1138,729,1929
g25932,47,51,12,20,107,121,6,10,16,9,6,17
g25933,14,9,0,0,2,3,3,3,3,8,0,2
g25934,772,733,77,104,86,102,65,72,46,63,18,31
g25935,210,142,34,65,171,150,44,52,54,40,26,65
g25936,75,32,5,6,155,194,548,1121,436,339,143,647
g25937,79,54,18,18,16,18,47,46,26,34,12,28
g25938,201,90,4,17,52,41,11,51,25,62,33,48
g25939,48,36,11,13,61,47,97,178,78,94,38,78
g25941,0,0,0,1,0,0,0,0,0,0,0,0
g25943,251,247,446,457,457,467,436,586,397,480,150,304
g25944,16,9,33,47,46,25,65,94,54,80,11,50
g25945,9,7,0,2,1,1,2,15,4,6,7,9
g25946,50,45,106,136,106,84,374,524,330,414,76,210
g25947,439,598,76,98,152,169,577,793,224,401,233,198
g25948,2983,2827,647,758,447,363,2004,2463,1335,2186,980,1097
g25949,0,0,0,0,2,2,411,430,426,331,50,186
g25950,2,2,1,0,18,18,8,20,6,4,4,15
g25951,1113,906,477,572,1814,2281,972,437,1545,1372,819,2283
g25952,54,44,6,20,75,84,24,59,40,35,18,34
g25953,615,657,69,94,59,90,215,319,201,205,57,120
g25954,172,89,29,39,105,115,176,222,205,140,74,158
g25955,61,29,6,5,186,201,378,830,294,279,122,489
g25956,59,66,24,35,34,21,56,109,61,93,27,68
g25957,207,102,6,10,47,44,37,114,57,162,109,142
g25958,46,30,13,7,58,40,79,131,78,84,26,70
g25959,0,1,0,24,1,3,0,0,0,0,0,0
g25960,29,9,0,0,10,4,16,61,15,10,9,29
g25961,13,10,0,0,3,2,21,23,8,8,4,14
g25962,93,66,33,51,532,352,565,512,529,445,348,814
g25963,34,24,0,0,23,37,31,48,12,21,12,16
g25964,963,735,591,685,897,935,831,992,819,854,258,621
g25965,175,155,246,229,228,305,132,134,96,101,14,47
g25966,102,88,58,86,73,38,168,243,120,131,14,64
g25967,811,864,5171,3735,967,841,1324,2551,1262,1889,219,370
g25968,113,125,309,358,224,192,378,412,265,271,30,94
g25969,759,641,284,308,734,948,536,768,378,506,161,243
g25970,151,51,1,4,36,29,25,25,21,3,48,53
g25971,359,336,154,180,51,37,109,191,95,85,27,47
g25972,30,41,61,68,50,40,160,168,92,59,26,33
g25973,1116,1367,314,452,134,96,181,184,187,180,46,94
g25974,116,124,37,35,202,141,263,398,219,272,100,306
g25975,171,194,110,114,124,101,377,485,273,294,171,354
g25976,205,144,593,742,704,508,1188,1581,1062,1245,331,717
g25977,77,96,1,2,77,32,89,210,44,34,25,65
g25978,621,699,908,766,881,821,1203,1971,1121,1061,268,544
g25979,300,156,20,19,161,78,168,396,149,90,48,85
g25980,418,410,256,293,112,72,385,548,228,231,66,175
g25981,5,2,11,18,10,8,76,132,71,42,17,35
g25982,64,51,150,144,187,111,793,1026,641,687,211,370
g25984,0,0,0,0,0,1,2,1,1,0,0,0
g25986,96,71,51,45,37,18,59,110,30,31,15,30
g25987,5,7,6,8,8,5,6,12,5,4,2,6
g25988,52,53,149,146,148,73,123,163,119,121,44,67
g26017,833,911,190,226,732,916,556,827,497,661,226,642
g26018,831,960,1286,1293,1389,1232,4529,4780,3785,3668,661,1430
g26019,68,44,11,25,22,23,33,54,29,36,16,29
g26020,57,45,34,32,52,37,26,42,13,15,11,13
g26021,40,25,16,20,19,24,38,42,18,23,11,11
g26022,2671,3391,3030,3343,3218,3434,22597,18880,23448,20013,5170,9705
g26023,0,1,8,6,11,2,1,3,0,2,0,4
g26055,1029,1270,201,228,768,958,696,1138,674,890,352,836
g26056,742,944,1058,1149,1150,1042,2407,2483,2259,2030,366,865
g26057,57,45,24,30,28,27,41,54,40,47,12,31
g26058,60,57,23,27,52,44,59,85,34,53,22,37
g26059,31,25,10,22,32,33,11,14,7,18,10,12
g26060,2727,3629,3019,3246,3315,3604,15627,12709,16782,13911,4141,7675
g26061,25,41,1056,1001,1130,676,2667,2065,1938,3175,165,1140
g26062,14,25,1,14,0,0,16,14,4,20,3,7
