,TPM_trimed_0h,TPM_trimed_16h,TPM_trimed_48h,TPM_control,TPM_Early,TPM_Late
g17775,20.68307434,17.80421804,46.69783827,120.5126027,71.87843396,70.89357697
g17776,3.919371482,1.331154336,4.043936673,4.082784184,2.528854229,3.776892828
g17777,27.99082237,10.09699908,2.239925656,6.686749328,4.470585507,3.131310774
g17778,2.002592752,1.645417807,1.805628781,4.952502771,3.557413533,5.695142798
g17779,1.438577671,0.843223606,1.586795417,10.43172959,4.569367264,8.342689852
g17780,20.618422,9.531840044,4.534023234,11.13216663,7.165634173,6.69246585
g17781,0.822530396,0.956499593,1.484966853,0.99388736,0.521958806,0.533918858
g17782,0.297402278,0.873269899,1.032019382,6.159114991,3.881394488,2.687881363
g17783,2.042161332,2.2309128,3.273210752,9.729710467,6.782017898,8.362355778
g17784,705.083191,56.25121713,16.48026482,38.8828238,84.37971975,361.7246731
g17785,0.08316319,0,0.075117711,1.368229243,1.378476186,2.49335635
g17786,0.038269787,0,0,0.278821339,0.422197045,0.313588314
g17787,0.53850768,0.305353798,1.035826811,1.561427367,1.003798569,2.079329851
g17788,19.78104898,10.92936367,2.425384286,10.31415871,6.703355556,3.287190458
g17789,0.973270934,1.948921217,1.462161527,8.273400947,5.988004503,8.131093417
g17790,2.08413564,1.078828919,1.442315527,9.721485891,5.168558264,9.965216278
g17791,18.13930925,9.557352569,4.330047695,19.77130805,15.27042126,14.11360465
g17792,0.551691187,1.21574188,1.509645617,4.577593762,2.790667773,3.393546243
g17793,0.338780299,0.914314043,0.930631828,2.478722407,1.607911836,1.180394361
g17794,1.934769341,1.822610868,3.315474944,5.427534711,3.921102905,5.528931188
g17795,928.5872898,99.29548496,33.90032501,65.38936843,135.827338,629.1644667
g17796,10.45703907,78.21547974,61.37472046,117.5679098,91.77015459,81.91761439
g17797,87.96312708,3.351145077,79.89031538,10.00321887,12.78339889,3.395128274
g17798,14.03086774,22.11158218,16.26406873,44.98507775,32.52804998,43.14041152
g17799,2.307788834,3.607790485,7.975081109,1.923757063,1.11961182,2.781258775
g17800,12.55296972,0.208492018,0.476796195,1.508062093,0.555514517,3.040162008
g17801,22.16100459,5.502641153,9.674016911,14.75897554,9.635577478,21.66972514
g17802,3.686233334,1.684799671,1.735602198,2.13175667,0.773963899,4.332340815
g17803,4.06916136,104.0946759,25.03727447,40.21060794,31.19401997,17.4354527
g17804,3779.782032,4901.804248,4580.51039,3418.749562,3730.692642,2910.432527
g17805,23.05784727,13.63557582,17.91825656,52.87085077,31.01362926,44.65906634
g17806,3.992086094,0.40196632,1.309676171,2.746256287,1.873149698,3.325740457
g17807,1.528273253,0.997918449,1.659641879,1.708108542,0.559412887,0.584856393
g17808,23.87362634,4.649354232,1.340505385,2.061644562,0.700266709,1.414043458
g17809,65.60579468,47.75405657,7.67166534,42.90363561,33.86189795,23.31373645
g17810,40.38156204,6.872873075,13.31136024,11.26636475,7.654334979,19.91618988
g17811,3.693609826,7.261606957,6.992228762,26.87167074,20.79580759,23.98700088
