Term	TERM	ONTOLOGY	gene_count	GO_Label
GO:0016817	hydrolase activity, acting on acid anhydrides	MF	19	GO:0016817 – hydrolase activity, acting on acid anhydrides (MF)
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	MF	19	GO:0016818 – hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (MF)
GO:0022607	cellular component assembly	BP	19	GO:0022607 – cellular component assembly (BP)
GO:0006464	NA	NA	18	GO:0006464 – NA (NA)
GO:0009889	regulation of biosynthetic process	BP	18	GO:0009889 – regulation of biosynthetic process (BP)
GO:0019219	regulation of nucleobase-containing compound metabolic process	BP	18	GO:0019219 – regulation of nucleobase-containing compound metabolic process (BP)
GO:0031326	regulation of cellular biosynthetic process	BP	18	GO:0031326 – regulation of cellular biosynthetic process (BP)
GO:0033036	macromolecule localization	BP	18	GO:0033036 – macromolecule localization (BP)
GO:0036211	protein modification process	BP	18	GO:0036211 – protein modification process (BP)
GO:0005215	transporter activity	MF	17	GO:0005215 – transporter activity (MF)
GO:0006396	RNA processing	BP	17	GO:0006396 – RNA processing (BP)
GO:0017111	ribonucleoside triphosphate phosphatase activity	MF	17	GO:0017111 – ribonucleoside triphosphate phosphatase activity (MF)
GO:0022857	transmembrane transporter activity	MF	17	GO:0022857 – transmembrane transporter activity (MF)
GO:0050896	response to stimulus	BP	17	GO:0050896 – response to stimulus (BP)
GO:0051716	cellular response to stimulus	BP	17	GO:0051716 – cellular response to stimulus (BP)
GO:0071705	nitrogen compound transport	BP	17	GO:0071705 – nitrogen compound transport (BP)
GO:0008104	protein localization	BP	16	GO:0008104 – protein localization (BP)
GO:0010556	regulation of macromolecule biosynthetic process	BP	16	GO:0010556 – regulation of macromolecule biosynthetic process (BP)
GO:0016192	vesicle-mediated transport	BP	16	GO:0016192 – vesicle-mediated transport (BP)
GO:0034613	NA	NA	16	GO:0034613 – NA (NA)
GO:0055085	transmembrane transport	BP	16	GO:0055085 – transmembrane transport (BP)
GO:0070727	cellular macromolecule localization	BP	16	GO:0070727 – cellular macromolecule localization (BP)
GO:2000112	NA	NA	16	GO:2000112 – NA (NA)
GO:0007010	cytoskeleton organization	BP	15	GO:0007010 – cytoskeleton organization (BP)
GO:0009057	macromolecule catabolic process	BP	15	GO:0009057 – macromolecule catabolic process (BP)
GO:0010468	regulation of gene expression	BP	15	GO:0010468 – regulation of gene expression (BP)
GO:0016772	transferase activity, transferring phosphorus-containing groups	MF	15	GO:0016772 – transferase activity, transferring phosphorus-containing groups (MF)
GO:0016887	ATP hydrolysis activity	MF	15	GO:0016887 – ATP hydrolysis activity (MF)
GO:0031974	membrane-enclosed lumen	CC	15	GO:0031974 – membrane-enclosed lumen (CC)
GO:0031981	nuclear lumen	CC	15	GO:0031981 – nuclear lumen (CC)
GO:0043233	organelle lumen	CC	15	GO:0043233 – organelle lumen (CC)
GO:0070013	intracellular organelle lumen	CC	15	GO:0070013 – intracellular organelle lumen (CC)
GO:1990904	ribonucleoprotein complex	CC	15	GO:1990904 – ribonucleoprotein complex (CC)
GO:0004672	protein kinase activity	MF	14	GO:0004672 – protein kinase activity (MF)
GO:0005975	carbohydrate metabolic process	BP	14	GO:0005975 – carbohydrate metabolic process (BP)
GO:0006351	DNA-templated transcription	BP	14	GO:0006351 – DNA-templated transcription (BP)
GO:0006629	lipid metabolic process	BP	14	GO:0006629 – lipid metabolic process (BP)
GO:0016491	oxidoreductase activity	MF	14	GO:0016491 – oxidoreductase activity (MF)
GO:0044255	cellular lipid metabolic process	BP	14	GO:0044255 – cellular lipid metabolic process (BP)
GO:0051252	regulation of RNA metabolic process	BP	14	GO:0051252 – regulation of RNA metabolic process (BP)
GO:0003723	RNA binding	MF	13	GO:0003723 – RNA binding (MF)
GO:0005856	cytoskeleton	CC	13	GO:0005856 – cytoskeleton (CC)
GO:0006082	organic acid metabolic process	BP	13	GO:0006082 – organic acid metabolic process (BP)
GO:0006886	intracellular protein transport	BP	13	GO:0006886 – intracellular protein transport (BP)
GO:0006950	response to stress	BP	13	GO:0006950 – response to stress (BP)
GO:0019637	organophosphate metabolic process	BP	13	GO:0019637 – organophosphate metabolic process (BP)
GO:0019752	carboxylic acid metabolic process	BP	13	GO:0019752 – carboxylic acid metabolic process (BP)
GO:0032774	RNA biosynthetic process	BP	13	GO:0032774 – RNA biosynthetic process (BP)
GO:0033554	cellular response to stress	BP	13	GO:0033554 – cellular response to stress (BP)
GO:0043436	oxoacid metabolic process	BP	13	GO:0043436 – oxoacid metabolic process (BP)
GO:0043933	protein-containing complex organization	BP	13	GO:0043933 – protein-containing complex organization (BP)
GO:0046872	metal ion binding	MF	13	GO:0046872 – metal ion binding (MF)
GO:0097659	NA	NA	13	GO:0097659 – NA (NA)
GO:0098588	bounding membrane of organelle	CC	13	GO:0098588 – bounding membrane of organelle (CC)
GO:1990234	transferase complex	CC	13	GO:1990234 – transferase complex (CC)
GO:0000166	nucleotide binding	MF	12	GO:0000166 – nucleotide binding (MF)
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	MF	12	GO:0004553 – hydrolase activity, hydrolyzing O-glycosyl compounds (MF)
GO:0005524	ATP binding	MF	12	GO:0005524 – ATP binding (MF)
GO:0006468	protein phosphorylation	BP	12	GO:0006468 – protein phosphorylation (BP)
GO:0006508	proteolysis	BP	12	GO:0006508 – proteolysis (BP)
GO:0015031	protein transport	BP	12	GO:0015031 – protein transport (BP)
GO:0016788	hydrolase activity, acting on ester bonds	MF	12	GO:0016788 – hydrolase activity, acting on ester bonds (MF)
GO:0036094	small molecule binding	MF	12	GO:0036094 – small molecule binding (MF)
GO:0043167	ion binding	MF	12	GO:0043167 – ion binding (MF)
GO:0045184	establishment of protein localization	BP	12	GO:0045184 – establishment of protein localization (BP)
GO:0048518	positive regulation of biological process	BP	12	GO:0048518 – positive regulation of biological process (BP)
GO:0048522	positive regulation of cellular process	BP	12	GO:0048522 – positive regulation of cellular process (BP)
GO:1901265	nucleoside phosphate binding	MF	12	GO:1901265 – nucleoside phosphate binding (MF)
GO:0005794	Golgi apparatus	CC	11	GO:0005794 – Golgi apparatus (CC)
GO:0006355	regulation of DNA-templated transcription	BP	11	GO:0006355 – regulation of DNA-templated transcription (BP)
GO:0007017	microtubule-based process	BP	11	GO:0007017 – microtubule-based process (BP)
GO:0007049	cell cycle	BP	11	GO:0007049 – cell cycle (BP)
GO:0022402	cell cycle process	BP	11	GO:0022402 – cell cycle process (BP)
GO:0031982	vesicle	CC	11	GO:0031982 – vesicle (CC)
GO:0043168	anion binding	MF	11	GO:0043168 – anion binding (MF)
GO:0043603	amide metabolic process	BP	11	GO:0043603 – amide metabolic process (BP)
GO:0065003	protein-containing complex assembly	BP	11	GO:0065003 – protein-containing complex assembly (BP)
GO:0065008	regulation of biological quality	BP	11	GO:0065008 – regulation of biological quality (BP)
GO:0140535	intracellular protein-containing complex	CC	11	GO:0140535 – intracellular protein-containing complex (CC)
GO:0140657	ATP-dependent activity	MF	11	GO:0140657 – ATP-dependent activity (MF)
GO:1901135	carbohydrate derivative metabolic process	BP	11	GO:1901135 – carbohydrate derivative metabolic process (BP)
GO:0000226	microtubule cytoskeleton organization	BP	10	GO:0000226 – microtubule cytoskeleton organization (BP)
GO:0005783	endoplasmic reticulum	CC	10	GO:0005783 – endoplasmic reticulum (CC)
GO:0006414	translational elongation	BP	10	GO:0006414 – translational elongation (BP)
GO:0006518	peptide metabolic process	BP	10	GO:0006518 – peptide metabolic process (BP)
GO:0015074	DNA integration	BP	10	GO:0015074 – DNA integration (BP)
GO:0016301	kinase activity	MF	10	GO:0016301 – kinase activity (MF)
GO:0034622	NA	NA	10	GO:0034622 – NA (NA)
GO:0043604	amide biosynthetic process	BP	10	GO:0043604 – amide biosynthetic process (BP)
GO:0090407	organophosphate biosynthetic process	BP	10	GO:0090407 – organophosphate biosynthetic process (BP)
