,TPM_trimed_0h,TPM_trimed_16h,TPM_trimed_48h,TPM_96h,TPM_Early,TPM_Late
g342,1.4300905404440587,29.561088741615904,4.526596030666812,5.4290156737340975,18.589599516714344,2.7698201532463798
g343,12.398932380572532,9.597706033127366,1.2608001913543827,0.36530850219629296,0.39146965117331656,1.836778071622413
g344,1.3012461916935545,2.0198983354314937,1.4476654672618279,5.204348857572862,4.13602961307234,4.530210783712276
g345,0.4448616889109296,1.6358881001082746,2.6995929304001893,9.746285658089398,4.9893279649335485,25.94470291595809
g346,1.7131323441494406,112.11609070467546,154.27750578365834,4.520042305985607,8.293151392048912,11.016255715356081
g347,1.85812490135551,1.8089980450018208,5.211909608107449,2.6587915162092015,1.8329768409399851,7.678977490669684
g348,7.89730031698399,38.68692203229323,45.14473921746939,7.854948226070765,25.22656510244175,21.732417352352705
g349,0.0066942506106798,0.0,0.0,9.174246287956063,4.587258356846423,2.8119833265018537
g351,6.8385175302781285,1.4746496409006808,4.5750545060634265,5.616339945857488,4.803298789651929,4.778433109418854
g352,76.68857901399093,1945.2079311776172,1410.797194215052,1079.263859998579,924.8973167825375,1324.6523135477757
g353,31.254326478393516,23.171125992091078,4.976584277069929,25.3505263458508,19.886451062974434,10.572727644909131
g354,4.906948327312641,5.100638887676945,15.307844177029594,45.288049029630734,38.52394721074765,62.367350285565976
g355,122.63215578479107,48.32173676267416,68.12470828767383,78.94102114276697,100.13660879414334,139.27579972381213
g356,1.2434300032503227,0.05671306991357955,0.2026796577991358,0.8755580406599055,0.9663594382693204,1.1505883961014387
g357,31.24407136803076,6.844698531705184,3.450864872329951,14.996485051968328,12.775401618740794,14.411074001917957
g358,2.6562006208879474,0.558054106799589,0.5476491688006564,1.664955007585125,0.889949807369919,0.91758685302834
g359,2.310321300065321,1.9344245310942934,1.543145247059568,4.1776027940582985,2.6629151673198406,3.9485963114044322
g360,7.412286311587499,8.515445625468818,3.3999189071054174,17.057585140622386,15.090871809842021,12.00177801842323
g361,34.03747076096179,4.768009372862977,1.8090761644540971,5.4891662235298035,3.2149342070747307,3.298490925759178
g362,41.72365793208265,12.184435391453846,6.114598966069187,15.695159576293367,11.544388269574577,8.15514290831504
g363,53.11710890763433,17.187758811974575,18.98664665617129,11.229351541545975,8.045433201066611,8.590051476372363
g364,59.80186721895676,39.45900072463468,56.01842090211588,40.32525034705717,41.52243742988952,48.898250734996694
g365,2.6449262733745385,3.5602978100662948,11.080901076785821,23.518421766637168,20.028551149166326,31.88204277428322
g383,0.0577817194898816,0.0923823495890439,0.10738238717735055,6.434120760103578,4.156557355753895,5.520752318263963
g385,22.612674475655307,6.51982628733872,5.304133509028907,32.118324831072584,20.351183592149255,24.52146088278314
g386,23.843865806386788,14.108329078457327,3.4361442437063987,20.08097349611223,16.67086577988414,13.846580004668576
g387,5.72439651496917,10.624629808323506,13.407973770549166,20.43410700510885,12.68594886408008,9.428762360663459
g388,6.024493922231374,3.0160602874334312,2.282063770908523,7.2774412633718875,4.629302556735696,5.64509643871901
g389,4.492497426637436,0.7427712665036349,1.4538848590724736,2.5833919136745407,2.4297239664458297,1.9447690697549511
g390,759.6611048327741,591.4774271546416,85.47052755412915,366.1293084198819,428.90344725437023,216.8291725187008
g391,0.7653429931863984,0.38013515951042154,1.424501559418096,2.989592644276482,1.0508905310713077,2.284296078509472
g392,3.116117832029698,6.31124334021974,8.081244027064917,10.23110293245744,8.071655113332383,6.9371578040873985
g393,1.144278355076513,1.267937520917036,1.6446514674808306,4.5234283504643855,3.51834041667312,4.449518576870921
g394,225.36225443768046,1.506718940046698,2.5364201036823255,2.7348480118786056,4.120661336500609,1.9980004316725486
g395,31.659797097373968,12.035273704257307,30.5844223910343,17.507316979263685,17.851559612797953,30.634798000262144
g396,20.694156087216534,32.63778264039125,15.74197982560724,92.60331149694393,84.63726535404533,46.2848602869327
g397,0.0813769224754711,0.0589304059055744,0.8736576791612707,0.933424355829577,0.7377548196023263,0.8766910900053917
