anchor_location1	start1	end1	anchor1_annotation	anchor_location1	start2	end2	anchor2_annotation	loop_type	loop_size
HiC_scaffold_2	4060000	4070000	Boundary	HiC_scaffold_2	4170000	4180000	Boundary	Unannotated	110000
HiC_scaffold_2	4160000	4170000	Boundary	HiC_scaffold_2	4330000	4340000	TAD_33	TAD-Boundary	170000
HiC_scaffold_2	4580000	4585000	TAD_33	HiC_scaffold_2	4660000	4665000	TAD_33	Intra-TAD	80000
HiC_scaffold_2	4650000	4660000	TAD_33	HiC_scaffold_2	4710000	4720000	TAD_33	Intra-TAD	60000
HiC_scaffold_2	5250000	5260000	TAD_36	HiC_scaffold_2	5320000	5330000	TAD_36	Intra-TAD	70000
HiC_scaffold_3	100000	105000	None	HiC_scaffold_3	135000	140000	None	Unannotated	35000
HiC_scaffold_3	920000	925000	TAD_39	HiC_scaffold_3	2600000	2605000	TAD_44	Inter-TAD	1680000
HiC_scaffold_3	1965000	1970000	TAD_43	HiC_scaffold_3	2005000	2010000	TAD_43	Intra-TAD	40000
HiC_scaffold_3	2680000	2690000	Boundary	HiC_scaffold_3	4360000	4370000	TAD_46	TAD-Boundary	1680000
HiC_scaffold_3	3025000	3030000	TAD_45	HiC_scaffold_3	3090000	3095000	TAD_45	Intra-TAD	65000
HiC_scaffold_3	4050000	4055000	TAD_46	HiC_scaffold_3	4360000	4365000	TAD_46	Intra-TAD	310000
HiC_scaffold_3	4050000	4055000	TAD_46	HiC_scaffold_3	4540000	4545000	TAD_47	Inter-TAD	490000
HiC_scaffold_3	4280000	4290000	TAD_46	HiC_scaffold_3	4480000	4490000	TAD_47	Inter-TAD	200000
HiC_scaffold_3	4360000	4365000	TAD_46	HiC_scaffold_3	4540000	4545000	TAD_47	Inter-TAD	180000
HiC_scaffold_4	565000	570000	None	HiC_scaffold_4	695000	700000	None	Unannotated	130000
HiC_scaffold_4	1120000	1130000	TAD_49	HiC_scaffold_4	1740000	1750000	TAD_50	Inter-TAD	620000
HiC_scaffold_4	1235000	1240000	TAD_49	HiC_scaffold_4	1280000	1285000	TAD_49	Intra-TAD	45000
HiC_scaffold_4	1355000	1360000	TAD_49	HiC_scaffold_4	1405000	1410000	TAD_49	Intra-TAD	50000
HiC_scaffold_4	1770000	1780000	Boundary	HiC_scaffold_4	1850000	1860000	TAD_51	TAD-Boundary	80000
HiC_scaffold_4	1790000	1800000	Boundary	HiC_scaffold_4	1860000	1870000	TAD_51	TAD-Boundary	70000
HiC_scaffold_4	2750000	2760000	TAD_53	HiC_scaffold_4	2810000	2820000	TAD_53	Intra-TAD	60000
HiC_scaffold_4	2960000	2965000	TAD_53	HiC_scaffold_4	3020000	3025000	TAD_53	Intra-TAD	60000
HiC_scaffold_4	3370000	3380000	TAD_54	HiC_scaffold_4	3490000	3500000	TAD_54	Intra-TAD	120000
HiC_scaffold_4	3390000	3400000	TAD_54	HiC_scaffold_4	3670000	3680000	TAD_54	Intra-TAD	280000
HiC_scaffold_4	3500000	3510000	TAD_54	HiC_scaffold_4	3590000	3600000	TAD_54	Intra-TAD	90000
HiC_scaffold_4	3680000	3690000	TAD_54	HiC_scaffold_4	3750000	3760000	TAD_54	Intra-TAD	70000
HiC_scaffold_4	3880000	3885000	TAD_54	HiC_scaffold_4	3975000	3980000	TAD_54	Intra-TAD	95000
HiC_scaffold_4	3920000	3930000	TAD_54	HiC_scaffold_4	4050000	4060000	TAD_54	Intra-TAD	130000
HiC_scaffold_4	3960000	3970000	TAD_54	HiC_scaffold_4	4060000	4070000	TAD_54	Intra-TAD	100000
HiC_scaffold_4	4430000	4440000	Boundary	HiC_scaffold_4	4490000	4500000	TAD_55	TAD-Boundary	60000
HiC_scaffold_5	330000	340000	None	HiC_scaffold_5	3630000	3640000	TAD_65	Inter-TAD	3300000
HiC_scaffold_5	420000	430000	TAD_56	HiC_scaffold_5	590000	600000	TAD_56	Intra-TAD	170000
HiC_scaffold_5	500000	505000	TAD_56	HiC_scaffold_5	560000	565000	TAD_56	Intra-TAD	60000
HiC_scaffold_5	620000	625000	TAD_56	HiC_scaffold_5	2565000	2570000	TAD_62	Inter-TAD	1945000
HiC_scaffold_5	690000	695000	TAD_56	HiC_scaffold_5	4025000	4030000	None	Inter-TAD	3335000
HiC_scaffold_5	1280000	1290000	TAD_57	HiC_scaffold_5	1420000	1430000	TAD_58	Inter-TAD	140000
HiC_scaffold_5	1560000	1570000	TAD_58	HiC_scaffold_5	1690000	1700000	TAD_58	Intra-TAD	130000
HiC_scaffold_5	2350000	2360000	TAD_61	HiC_scaffold_5	2430000	2440000	TAD_61	Intra-TAD	80000
HiC_scaffold_5	2360000	2370000	TAD_61	HiC_scaffold_5	2450000	2460000	TAD_61	Intra-TAD	90000
HiC_scaffold_5	3125000	3130000	TAD_64	HiC_scaffold_5	3180000	3185000	TAD_64	Intra-TAD	55000
