,TPM_trimed_0h,TPM_trimed_16h,TPM_trimed_48h,TPM_control_96h,TPM_Early,TPM_Late
g26384,-0.966379493,1.806862236,0.37463019,-0.220302771,-0.254861459,-0.739948704
g26385,2.020052937,-0.564784603,-0.545657425,-0.169376828,-0.369524795,-0.370709286
g26386,2.030144151,-0.514813423,-0.511865142,-0.232923283,-0.39859344,-0.371948864
g26387,1.943990426,-0.593787419,0.212513491,-0.489558397,-0.474715635,-0.598442465
g26388,0.937043084,-0.699078808,1.565589145,-0.610239243,-0.817766123,-0.375548054
g26389,1.590210834,0.645167741,-0.637281342,-1.161634423,0.101312141,-0.537774951
g26390,-0.779879778,1.256208786,1.314117469,-0.697967788,-0.508105231,-0.584373458
g26391,0.320648888,0.737449177,1.480746843,-0.756232179,-0.890754193,-0.891858537
g26401,-0.892725966,-0.892725966,1.274159175,0.703615078,0.700403645,-0.892725966
g26402,-0.40824829,-0.40824829,2.041241452,-0.40824829,-0.40824829,-0.40824829
g26407,0.20135887,0.323780841,1.763212793,-0.752518453,-0.764447128,-0.771386922
g26408,0.977866965,-1.233445113,-0.882557958,1.187685349,-0.431994925,0.382445683
g26409,1.90926604,-0.726071183,-0.646762698,-0.244934318,-0.537375989,0.245878148
g26410,-0.89821877,-0.838207041,-0.947662264,1.249305478,0.752629791,0.682152806
g26411,-0.722330818,-0.855914643,-0.825720662,1.585643155,0.081485389,0.736837578
g26412,-0.835831282,-0.929325721,-0.883733874,1.343308082,0.651309715,0.65427308
g26413,0.07735741,-0.835898528,-1.318362193,1.540655133,0.409211504,0.127036674
g26414,1.988231695,-0.75056674,-0.17603944,-0.365918861,-0.543677131,-0.152029523
g26415,0.891494007,-1.125553566,-1.224039594,1.005973984,-0.177609582,0.62973475
g26416,2.023706805,-0.55857695,-0.559113588,-0.236868085,-0.332522227,-0.336625956
g26417,-0.43400836,-0.532780546,2.025338849,-0.379036081,-0.499829234,-0.179684629
g26418,-1.286929655,0.303870526,1.521609794,-0.737355901,-0.332293406,0.531098642
g26419,0.868128997,-1.279740889,-1.257045554,0.812128383,0.46049996,0.396029104
g26420,-0.734411559,-0.82390677,-0.541578573,1.586009859,0.905419707,-0.391532663
g26421,-0.876315299,1.954320955,-0.045171855,-0.420186717,-0.153949822,-0.458697264
g26422,1.627809276,-1.270098049,0.387072304,-0.288829146,-0.675131228,0.219176841
g26423,-0.65508572,-0.632340295,-0.348528836,0.182967919,-0.490156305,1.943143237
g26424,0.809053637,-0.739559634,-0.406276186,1.513034788,-0.017002825,-1.159249781
g26425,-0.934243913,-0.598255819,-0.303841775,1.915708848,-0.083663692,0.004296351
g26426,-1.781864248,1.082355868,0.80153254,-0.096289123,-0.032219877,0.02648484
g26427,-0.940497487,-1.118634596,0.927368994,-0.176263496,1.401533284,-0.0935067
g26428,-0.754027656,-0.770609264,-0.417002921,0.003901543,0.023807738,1.91393056
g26429,-0.87256355,-0.056179914,1.898490066,-0.579977937,0.13593127,-0.525699935
g26430,-0.083109015,-1.409565566,-0.958828834,1.053209964,0.700029005,0.698264447
g26431,-1.174989317,-1.153575693,0.200365343,1.312563972,0.718512215,0.09712348
g26432,-1.775874693,-0.255716131,0.348763059,0.01633195,0.465571568,1.200924247
g26433,-0.705053237,-0.347721535,-1.305073532,0.151151591,0.770804561,1.435892151
g26434,-0.743718778,-1.059452713,-0.717147878,1.055361048,0.174221662,1.290736658
g26435,1.348425857,-0.785337754,1.20712359,-0.741658878,-0.394220964,-0.634331852
g26436,2.040148155,-0.465625742,-0.384362351,-0.369769119,-0.408798327,-0.411592616
g26437,1.374544636,-1.302234278,0.884497971,-0.765688277,-0.213742711,0.022622659
g26438,1.77063028,0.469167448,-0.17467445,-0.408535744,-0.634390996,-1.022196539
g26439,1.872430369,-0.537997724,-0.488643878,0.411828173,-0.576907144,-0.680709797
g26440,2.006018,-0.451490446,-0.431427017,-0.13110842,-0.691834374,-0.300157743
g26441,1.15265364,-1.081594901,-0.982538819,1.192217275,0.053758693,-0.334495888
g26442,1.982278613,-0.621284805,-0.621284805,0.031731359,-0.382991716,-0.388448646
g26443,1.882215944,-0.845348559,-0.845348559,0.007164806,-0.163551785,-0.035131845
g26444,-0.615267079,-0.802954747,-0.802954747,0.536128145,-0.05882097,1.743869398
g26445,0.219408308,-1.599432992,-0.74001172,0.225153957,0.953470633,0.941411813
g26446,-0.783892982,-0.826927825,-0.690974663,0.792486338,-0.098930391,1.608239523
g26449,0.729015199,-1.278907977,-1.157211233,-0.018014124,0.81034513,0.914773005
g26450,1.670886512,-1.015104772,-1.015104772,0.194321499,0.301463402,-0.13646187
g26451,2.023691271,-0.540590612,-0.547538107,-0.264385975,-0.429125738,-0.242050838
g26452,2.040843395,-0.400697381,-0.427277103,-0.426447097,-0.412541726,-0.373880089
g26460,-0.811929246,-0.859001145,-0.834364065,0.371674901,1.563003341,0.570616213
g26461,0.5055505,-1.556408422,-0.827005138,0.865572504,0.072271926,0.94001863
g26462,-1.671103909,0.199275209,1.08581729,0.8190371,0.118244184,-0.551269873
g26463,-1.54720317,-0.622927547,1.198721425,0.850086931,-0.099312595,0.220634956
g26464,-0.839420766,0.093872336,-0.59772206,1.808381504,0.292268897,-0.75737991
g26465,2.004047356,-0.545742261,-0.60744136,-0.124598706,-0.225802091,-0.500462938
g26466,-0.951312158,1.614205005,0.174982745,-0.120452126,0.411636075,-1.129059541
g26467,0.050044381,-0.963911084,1.851742374,-0.621147609,0.160570505,-0.477298567
g26468,-0.605778828,-0.669078594,-0.592924631,0.067479407,1.951033797,-0.150731151
g26469,1.805300484,-0.952418272,-0.649766343,-0.217308151,-0.419676489,0.433868772
g26470,1.018618436,-0.985488558,-1.182707971,0.709025562,0.924786779,-0.484234248
g26471,1.328662549,-0.869879108,-1.212449226,0.155216762,0.933562822,-0.335113798
g26472,-0.653581223,-0.251062739,-1.417013949,1.420493552,0.253072657,0.648091701
g26473,-0.143203017,-0.651567721,1.973433812,-0.065435539,-0.421351418,-0.691876118
g26474,-0.735377553,-1.084669047,1.3029941,-0.571119569,-0.033271091,1.12144316
g26475,0.020708961,-1.32618837,-1.013069572,0.530065952,0.485475135,1.303007893
g26476,-0.051800422,1.810745343,-0.54977871,0.360802958,-0.948815322,-0.621153846
g26477,-1.301081048,1.006539423,1.268919207,0.153388228,-0.674460327,-0.453305482
g26478,-0.433543277,1.490558263,0.418726961,-0.241331921,-1.51018286,0.275772834
g26479,-1.109470572,-0.938493819,0.187809016,0.532497831,-0.254904312,1.582561856
g26480,0.608836725,-1.158943389,1.645307687,-0.600120367,-0.467123793,-0.027956863
g26481,1.207386721,-1.174906679,1.245183667,-0.214533548,-0.522032927,-0.541097234
g26482,0.876810856,0.12620194,-1.092319295,1.388586903,-0.296174517,-1.003105887
g26483,-0.820283977,1.294032371,1.274655103,-0.536815818,-0.552290503,-0.659297175
g26484,-1.672092008,0.249158979,-0.671509956,0.847001618,0.936479195,0.310962173
g26485,-1.313931813,1.628815088,0.410037937,0.185016949,-0.500732011,-0.40920615
g26486,1.831549681,0.322974035,-0.914751969,-0.076025034,-0.478409933,-0.685336781
g26487,2.040740865,-0.38709427,-0.42598803,-0.42598803,-0.42598803,-0.375682505
g26488,-0.449870699,1.979933705,0.085378058,-0.532412138,-0.5303128,-0.552716126
g26489,0.844375954,-0.888213691,1.365382455,0.271656737,-1.177975621,-0.415225834
g26490,-0.850400748,-1.301195519,-0.311914753,1.365907536,0.45302107,0.644582414
g26491,0.498754136,0.678422477,1.424410539,-0.806592975,-0.882537211,-0.912456966
g26492,-0.914991776,0.598754187,1.569483334,0.289162857,-0.955430023,-0.586978578
g26493,-1.433304056,-0.87904546,-0.011118395,0.543321387,0.507231266,1.272915259
g26494,-0.808724749,-0.890117321,-0.699650816,0.360983731,0.363730479,1.673778676
g26495,0.309525125,-1.082342634,-0.616407169,0.243598481,-0.575490195,1.721116392
g26496,0.278656155,-1.082069687,-1.283442689,1.140362427,0.051406236,0.895087559
g26497,0.979411478,-0.829989604,-1.128826032,0.560981979,-0.706043756,1.124465934
g26498,-1.313425564,-0.245565081,-0.738104679,1.422082183,0.073727223,0.801285918
g26499,-1.979434984,0.579679549,0.323075643,0.740745884,0.302690064,0.033243844
g26500,-0.81216113,-0.1033683,1.971021417,-0.505856018,-0.137261258,-0.412374712
g26501,2.016171822,-0.176789359,-0.531343159,-0.300018771,-0.612193432,-0.395827101
g26502,0.519769087,-0.801478736,-0.40040826,1.810923615,-0.637202771,-0.491602936
g26503,-0.5223514,-0.800531712,-0.488776754,1.915390142,-0.346225373,0.242495097
g26504,-0.284540997,0.247593433,-0.808582702,1.900189448,-0.391213845,-0.663445337
g26506,-1.081869627,0.967653697,-0.926919447,0.631853943,-0.675992498,1.085273933
g26513,-0.797219866,-0.784291369,-0.636244363,1.793918775,0.347116876,0.076719946
g26514,-0.693381713,-0.63740113,1.909381784,0.216097802,-0.168511,-0.626185743
g26515,-1.114769302,-0.448072517,0.818590242,1.575883523,-0.246677399,-0.584954546
g26516,-1.408507812,0.429701496,0.014881744,1.373685435,-0.860729974,0.45096911
g26517,-0.44027966,-0.958253546,-0.854423202,1.739417695,0.242105911,0.271432801
g26518,-1.003570458,0.869618217,-0.420381474,-0.441677534,1.586305138,-0.590293887
g26519,-1.281528874,0.913451473,-0.972968917,1.124774287,-0.271414801,0.487686833
